City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
411,Segou,13.4317,-6.2157,90.25,28,38,14.79
412,Kemi,65.8596,24.8228,29.97,93,100,2.3
413,Lundazi,-12.2929,33.1782,63.79,90,76,5.97
414,Puerto Gaitan,4.3133,-72.0816,77.45,83,98,8.55
415,La Orilla,17.9833,-102.2333,83.17,55,52,11.05
416,Kindu,-2.95,25.95,69.67,93,100,1.54
417,Chetumal,18.5,-88.3,86.05,66,40,18.41
418,Ketchikan,55.3422,-131.6461,50.47,34,20,8.05
419,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,80.92,89,57,1.1
420,Abha,18.2164,42.5053,66.45,32,7,6.91
421,Torbay,47.6666,-52.7314,43.9,67,1,13.56
422,Nueve De Julio,-35.4444,-60.8831,68.34,42,73,5.39
423,Coihaique,-45.5752,-72.0662,61.41,54,0,0.0
424,Dum Duma,27.5667,95.5667,66.02,92,100,6.89
425,Hailun,47.45,126.9333,31.59,53,2,6.78
426,Humen,22.819,113.6731,71.13,67,100,8.72
427,Puerto Cabezas,14.0351,-83.3888,84.34,52,9,9.4
428,Monrovia,6.3005,-10.7969,76.77,88,61,9.33
429,Vagur,61.4732,-6.8119,47.08,90,100,22.53
430,Cayenne,4.9333,-52.3333,82.44,1,40,11.5
431,Martapura,-3.4167,114.85,71.69,100,98,2.3
432,Gigmoto,13.7796,124.39,77.5,87,95,7.4
433,Miyako,39.6367,141.9525,39.7,74,1,5.88
434,Richards Bay,-28.783,32.0377,63.97,87,100,7.54
435,Honiara,-9.4333,159.95,79.38,84,100,3.76
436,Bonavista,48.6499,-53.1147,43.11,74,4,14.2
437,Linqu,36.5156,118.5397,49.42,29,5,6.67
438,Shorapani,42.0898,43.0866,49.84,70,1,4.94
439,Nsoko,-27.0333,31.95,60.71,96,100,6.58
440,Lgov,51.6307,35.2775,41.18,95,100,7.83
441,Sekoma,-24.4,23.8833,61.41,87,74,11.12
442,Isangel,-19.55,169.2667,82.02,74,9,4.36
443,Aberdeen,57.1437,-2.0981,55.49,98,75,5.75
444,Nimes,43.8333,4.35,68.41,30,0,13.8
445,Port Hardy,50.6996,-127.4199,44.62,57,1,8.19
446,La Rioja,42.25,-2.5,49.78,79,0,4.59
447,Meghri,38.9029,46.2446,46.62,72,45,3.74
448,Mwanza,-2.5167,32.9,70.38,81,99,3.94
449,Borogontsy,62.6683,131.1683,11.21,97,98,3.51
